category  student level title duration
the-arts	Elementary/Primary	The Case For Andy Warhol	03:42
literature-language	Elementary/Primary	Mysteries of vernacular: Bewilder	Jessica Oreck and Rachael Teel	01:55
literature-language	Elementary/Primary	Mysteries of vernacular: Keister	Jessica Oreck and Rachael Teel	02:01
literature-language	Elementary/Primary	Mysteries of vernacular: X-ray	Jessica Oreck and Rachael Teel	01:59
literature-language	Elementary/Primary	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
literature-language	Elementary/Primary	Mysteries of vernacular: Sarcophagus	Jessica Oreck and Rachael Teel	01:38
literature-language	Elementary/Primary	A brief history of plural word...s	John McWhorter	04:27
literature-language	Elementary/Primary	Mysteries of vernacular: Fizzle	Jessica Oreck and Rachael Teel	01:51
literature-language	Elementary/Primary	Mysteries of vernacular: Jade	Jessica Oreck and Rachael Teel	02:08
literature-language	Elementary/Primary	Comma story	Terisa Folaron	05:00
literature-language	Elementary/Primary	Mysteries of vernacular: Quarantine	Jessica Oreck and Rachael Teel	02:11
literature-language	Elementary/Primary	Mysteries of vernacular: Gorgeous	Jessica Oreck and Rachael Teel	02:01
literature-language	Elementary/Primary	The punishable perils of plagiarism	Melissa Huseman D’Annunzio	03:48
literature-language	Elementary/Primary	Mysteries of vernacular: Window	Jessica Oreck and Rachael Teel	01:58
literature-language	Elementary/Primary	Mysteries of vernacular: Venom	Jessica Oreck and Rachael Teel	02:03
literature-language	Elementary/Primary	Mysteries of vernacular: Dynamite	Jessica Oreck and Rachael Teel	02:16
literature-language	Elementary/Primary	Mysteries of vernacular: Inaugurate	Jessica Oreck	02:08
literature-language	Elementary/Primary	Mysteries of vernacular: Earwig	Jessica Oreck and Rachael Teel	02:17
literature-language	Elementary/Primary	Mysteries of vernacular: Tuxedo	Jessica Oreck	02:05
literature-language	Elementary/Primary	A host of heroes	April Gudenrath	04:54
literature-language	Elementary/Primary	Mysteries of vernacular: Miniature	Jessica Oreck	02:04
literature-language	Elementary/Primary	Mysteries of vernacular: Noise	Jessica Oreck	02:02
literature-language	Elementary/Primary	Mysteries of vernacular: Hearse	Jessica Oreck	02:14
literature-language	Elementary/Primary	Become a slam poet in five steps	Gayle Danley	03:32
literature-language	Elementary/Primary	What is verbal irony?	Christopher Warner	03:29
literature-language	Elementary/Primary	In on a secret? That’s dramatic irony	Christopher Warner	02:50
literature-language	Elementary/Primary	Slowing down time (in writing & film)	Aaron Sitze	06:00
literature-language	Elementary/Primary	Why is there a "b" in doubt?	Gina Cooke	03:28
literature-language	Elementary/Primary	Situational irony: The opposite of what you think	Christopher Warner	03:12
literature-language	Elementary/Primary	Inside a cartoonist’s world	Liza Donnelly	04:23
literature-language	Elementary/Primary	What makes a hero?	Matthew Winkler	04:34
literature-language	Elementary/Primary	How did English evolve?	Kate Gardoqui	05:05
literature-language	Elementary/Primary	Three anti-social skills to improve your writing	Nadia Kalman	03:45
literature-language	Elementary/Primary	The power of a great introduction	Carolyn Mohr	04:43
literature-language	Elementary/Primary	Making sense of spelling	Gina Cooke	04:19
literature-language	Elementary/Primary	The art of the metaphor	Jane Hirshfield	05:39
literature-language	Elementary/Primary	The case against “good” and “bad”	Marlee Neel	04:53
literature-language	Elementary/Primary	The power of simple words	Terin Izil	02:02
literature-language	Middle School/Lower Secondary	This Video Will Make You Angry	07:26
literature-language	Middle School/Lower Secondary	Why Are Bad Words Bad?	10:46
literature-language	Middle School/Lower Secondary	Your words may predict your future mental health	12:15
literature-language	Middle School/Lower Secondary	What makes something "Kafkaesque"?	Noah Tavlin	05:04
literature-language	Middle School/Lower Secondary	The evolution of the book	Julie Dreyfuss	04:18
literature-language	Middle School/Lower Secondary	How interpreters juggle two languages at once	Ewandro Magalhaes	04:56
literature-language	Middle School/Lower Secondary	4 Logical Paradoxes	07:26
literature-language	Middle School/Lower Secondary	The pleasure of poetic pattern	David Silverstein	04:47
literature-language	Middle School/Lower Secondary	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
literature-language	Middle School/Lower Secondary	Are You A Good Listener?	04:58
literature-language	Middle School/Lower Secondary	Who IS Sherlock Holmes?	Neil McCaw	04:54
literature-language	Middle School/Lower Secondary	Does grammar matter?	Andreea S. Calude	04:39
literature-language	Middle School/Lower Secondary	How miscommunication happens (and how to avoid it)	Katherine Hampsten	04:33
literature-language	Middle School/Lower Secondary	Why do we love? A philosophical inquiry	Skye C. Cleary	05:45
literature-language	Middle School/Lower Secondary	How to make your writing funnier	Cheri Steinkellner	05:07
literature-language	Middle School/Lower Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
literature-language	Middle School/Lower Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
literature-language	Middle School/Lower Secondary	How to write descriptively	Nalo Hopkinson	04:42
literature-language	Middle School/Lower Secondary	The science behind the myth: Homer's "Odyssey"	Matt Kaplan	04:32
literature-language	Middle School/Lower Secondary	When to use "me", "myself" and "I"	Emma Bryce	02:57
literature-language	Middle School/Lower Secondary	How misused modifiers can hurt your writing	Emma Bryce	03:21
literature-language	Middle School/Lower Secondary	How false news can spread	Noah Tavlin	03:42
literature-language	Middle School/Lower Secondary	Buffalo buffalo buffalo: One-word sentences and how they work	Emma Bryce	03:28
literature-language	Middle School/Lower Secondary	Who am I? A philosophical inquiry	Amy Adkins	04:59
literature-language	Middle School/Lower Secondary	When to use apostrophes	Laura McClure	03:14
literature-language	Middle School/Lower Secondary	Where did English come from?	Claire Bowern	04:54
literature-language	Middle School/Lower Secondary	How to use a semicolon	Emma Bryce	03:36
literature-language	Middle School/Lower Secondary	The battle of the Greek tragedies	Melanie Sirof	05:07
literature-language	Middle School/Lower Secondary	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
literature-language	Middle School/Lower Secondary	Why Shakespeare loved iambic pentameter	David T. Freeman and Gregory Taylor	05:22
literature-language	Middle School/Lower Secondary	The language of lying	Noah Zandan	05:42
literature-language	Middle School/Lower Secondary	A brief history of melancholy	Courtney Stephens	05:29
literature-language	Middle School/Lower Secondary	How languages evolve	Alex Gendler	04:03
literature-language	Middle School/Lower Secondary	How to build a fictional world	Kate Messner	05:25
literature-language	Middle School/Lower Secondary	The true story of 'true'	Gina Cooke	04:28
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Odd	Jessica Oreck and Rachael Teel	01:52
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Yankee	Jessica Oreck and Rachael Teel	01:55
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Lady	Jessica Oreck and Rachael Teel	02:08
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Robot	Jessica Oreck and Rachael Teel	02:18
literature-language	Middle School/Lower Secondary	Vampires: Folklore, fantasy and fact	Michael Molina	06:57
literature-language	Middle School/Lower Secondary	Speech acts: Constative and performative	Colleen Glenney Boggs	03:58
literature-language	Middle School/Lower Secondary	Are Elvish, Klingon, Dothraki and Na’vi real languages?	John McWhorter	05:21
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Bewilder	Jessica Oreck and Rachael Teel	01:55
literature-language	Middle School/Lower Secondary	Shakespearean dating tips	Anthony John Peters	02:25
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Keister	Jessica Oreck and Rachael Teel	02:01
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: X-ray	Jessica Oreck and Rachael Teel	01:59
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Sarcophagus	Jessica Oreck and Rachael Teel	01:38
literature-language	Middle School/Lower Secondary	A brief history of plural word...s	John McWhorter	04:27
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Fizzle	Jessica Oreck and Rachael Teel	01:51
literature-language	Middle School/Lower Secondary	Exploring other dimensions	Alex Rosenthal and George Zaidan	04:49
literature-language	Middle School/Lower Secondary	What we learned from 5 million books	Erez Lieberman Aiden and Jean-Baptiste Michel	14:09
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Jade	Jessica Oreck and Rachael Teel	02:08
literature-language	Middle School/Lower Secondary	Comma story	Terisa Folaron	05:00
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Quarantine	Jessica Oreck and Rachael Teel	02:11
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Gorgeous	Jessica Oreck and Rachael Teel	02:01
literature-language	Middle School/Lower Secondary	The punishable perils of plagiarism	Melissa Huseman D’Annunzio	03:48
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Window	Jessica Oreck and Rachael Teel	01:58
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Venom	Jessica Oreck and Rachael Teel	02:03
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Dynamite	Jessica Oreck and Rachael Teel	02:16
literature-language	Middle School/Lower Secondary	Mining literature for deeper meanings	Amy E. Harter	04:13
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Inaugurate	Jessica Oreck	02:08
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Earwig	Jessica Oreck and Rachael Teel	02:17
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Tuxedo	Jessica Oreck	02:05
literature-language	Middle School/Lower Secondary	A host of heroes	April Gudenrath	04:54
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Miniature	Jessica Oreck	02:04
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Noise	Jessica Oreck	02:02
literature-language	Middle School/Lower Secondary	Mysteries of vernacular: Hearse	Jessica Oreck	02:14
literature-language	Middle School/Lower Secondary	Become a slam poet in five steps	Gayle Danley	03:32
literature-language	Middle School/Lower Secondary	What is verbal irony?	Christopher Warner	03:29
literature-language	Middle School/Lower Secondary	In on a secret? That’s dramatic irony	Christopher Warner	02:50
literature-language	Middle School/Lower Secondary	Slowing down time (in writing & film)	Aaron Sitze	06:00
literature-language	Middle School/Lower Secondary	Why is there a "b" in doubt?	Gina Cooke	03:28
literature-language	Middle School/Lower Secondary	Situational irony: The opposite of what you think	Christopher Warner	03:12
literature-language	Middle School/Lower Secondary	Inside a cartoonist’s world	Liza Donnelly	04:23
literature-language	Middle School/Lower Secondary	What makes a hero?	Matthew Winkler	04:34
literature-language	Middle School/Lower Secondary	How did English evolve?	Kate Gardoqui	05:05
literature-language	Middle School/Lower Secondary	Three anti-social skills to improve your writing	Nadia Kalman	03:45
literature-language	Middle School/Lower Secondary	An antihero of one’s own	Tim Adams	04:11
literature-language	Middle School/Lower Secondary	Beware of nominalizations (AKA zombie nouns)	Helen Sword	05:05
literature-language	Middle School/Lower Secondary	The power of a great introduction	Carolyn Mohr	04:43
literature-language	Middle School/Lower Secondary	Making sense of spelling	Gina Cooke	04:19
literature-language	Middle School/Lower Secondary	The art of the metaphor	Jane Hirshfield	05:39
literature-language	Middle School/Lower Secondary	How fiction can change reality	Jessica Wise	04:30
literature-language	Middle School/Lower Secondary	The case against “good” and “bad”	Marlee Neel	04:53
literature-language	Middle School/Lower Secondary	Insults by Shakespeare	April Gudenrath	06:24
literature-language	Middle School/Lower Secondary	The power of simple words	Terin Izil	02:02
literature-language	High School/Upper Secondary	This Video Will Make You Angry	07:26
literature-language	High School/Upper Secondary	Why Are Bad Words Bad?	10:46
literature-language	High School/Upper Secondary	Your words may predict your future mental health	12:15
literature-language	High School/Upper Secondary	What makes something "Kafkaesque"?	Noah Tavlin	05:04
literature-language	High School/Upper Secondary	The evolution of the book	Julie Dreyfuss	04:18
literature-language	High School/Upper Secondary	How interpreters juggle two languages at once	Ewandro Magalhaes	04:56
literature-language	High School/Upper Secondary	4 Logical Paradoxes	07:26
literature-language	High School/Upper Secondary	The pleasure of poetic pattern	David Silverstein	04:47
literature-language	High School/Upper Secondary	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
literature-language	High School/Upper Secondary	Are You A Good Listener?	04:58
literature-language	High School/Upper Secondary	Who IS Sherlock Holmes?	Neil McCaw	04:54
literature-language	High School/Upper Secondary	The Turing test: Can a computer pass for a human?	Alex Gendler	04:43
literature-language	High School/Upper Secondary	Does grammar matter?	Andreea S. Calude	04:39
literature-language	High School/Upper Secondary	The poet who painted with his words	Geneviève Emy	04:16
literature-language	High School/Upper Secondary	How miscommunication happens (and how to avoid it)	Katherine Hampsten	04:33
literature-language	High School/Upper Secondary	The controversial origins of the Encyclopedia	Addison Anderson	05:21
literature-language	High School/Upper Secondary	Why do we love? A philosophical inquiry	Skye C. Cleary	05:45
literature-language	High School/Upper Secondary	How to make your writing funnier	Cheri Steinkellner	05:07
literature-language	High School/Upper Secondary	How science fiction can help predict the future	Roey Tzezana	05:22
literature-language	High School/Upper Secondary	Let's make history…by recording it	StoryCorps & TED Prize	03:18
literature-language	High School/Upper Secondary	How to write descriptively	Nalo Hopkinson	04:42
literature-language	High School/Upper Secondary	The science behind the myth: Homer's "Odyssey"	Matt Kaplan	04:32
literature-language	High School/Upper Secondary	How computers translate human language	Ioannis Papachimonas	04:45
literature-language	High School/Upper Secondary	What "Orwellian" really means	Noah Tavlin	05:32
literature-language	High School/Upper Secondary	Do animals have language?	Michele Bishop	04:55
literature-language	High School/Upper Secondary	How misused modifiers can hurt your writing	Emma Bryce	03:21
literature-language	High School/Upper Secondary	How false news can spread	Noah Tavlin	03:42
literature-language	High School/Upper Secondary	A poetic experiment: Walt Whitman, interpreted by three animators	Justin Moore	03:29
literature-language	High School/Upper Secondary	Buffalo buffalo buffalo: One-word sentences and how they work	Emma Bryce	03:28
literature-language	High School/Upper Secondary	Who am I? A philosophical inquiry	Amy Adkins	04:59
literature-language	High School/Upper Secondary	When to use apostrophes	Laura McClure	03:14
literature-language	High School/Upper Secondary	Where did English come from?	Claire Bowern	04:54
literature-language	High School/Upper Secondary	Why tragedies are alluring	David E. Rivas	04:26
literature-language	High School/Upper Secondary	How to use a semicolon	Emma Bryce	03:36
literature-language	High School/Upper Secondary	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
literature-language	High School/Upper Secondary	The battle of the Greek tragedies	Melanie Sirof	05:07
literature-language	High School/Upper Secondary	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
literature-language	High School/Upper Secondary	Why Shakespeare loved iambic pentameter	David T. Freeman and Gregory Taylor	05:22
literature-language	High School/Upper Secondary	The language of lying	Noah Zandan	05:42
literature-language	High School/Upper Secondary	A brief history of melancholy	Courtney Stephens	05:29
literature-language	High School/Upper Secondary	Music and emotion through time	Michael Tilson Thomas	20:14
literature-language	High School/Upper Secondary	How languages evolve	Alex Gendler	04:03
literature-language	High School/Upper Secondary	A Rosetta Stone for the Indus script	Rajesh Rao	17:02
literature-language	High School/Upper Secondary	How to build a fictional world	Kate Messner	05:25
literature-language	High School/Upper Secondary	The true story of 'true'	Gina Cooke	04:28
literature-language	High School/Upper Secondary	Mysteries of vernacular: Odd	Jessica Oreck and Rachael Teel	01:52
literature-language	High School/Upper Secondary	Mysteries of vernacular: Yankee	Jessica Oreck and Rachael Teel	01:55
literature-language	High School/Upper Secondary	The world's English mania	Jay Walker	04:32
literature-language	High School/Upper Secondary	Mysteries of vernacular: Lady	Jessica Oreck and Rachael Teel	02:08
literature-language	High School/Upper Secondary	Mysteries of vernacular: Robot	Jessica Oreck and Rachael Teel	02:18
literature-language	High School/Upper Secondary	Vampires: Folklore, fantasy and fact	Michael Molina	06:57
literature-language	High School/Upper Secondary	Speech acts: Constative and performative	Colleen Glenney Boggs	03:58
literature-language	High School/Upper Secondary	Are Elvish, Klingon, Dothraki and Na’vi real languages?	John McWhorter	05:21
literature-language	High School/Upper Secondary	Mysteries of vernacular: Bewilder	Jessica Oreck and Rachael Teel	01:55
literature-language	High School/Upper Secondary	Shakespearean dating tips	Anthony John Peters	02:25
literature-language	High School/Upper Secondary	Mysteries of vernacular: Keister	Jessica Oreck and Rachael Teel	02:01
literature-language	High School/Upper Secondary	Mysteries of vernacular: X-ray	Jessica Oreck and Rachael Teel	01:59
literature-language	High School/Upper Secondary	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
literature-language	High School/Upper Secondary	What's the definition of comedy? Banana.	Addison Anderson	04:51
literature-language	High School/Upper Secondary	Mysteries of vernacular: Sarcophagus	Jessica Oreck and Rachael Teel	01:38
literature-language	High School/Upper Secondary	A brief history of plural word...s	John McWhorter	04:27
literature-language	High School/Upper Secondary	Mysteries of vernacular: Fizzle	Jessica Oreck and Rachael Teel	01:51
literature-language	High School/Upper Secondary	Exploring other dimensions	Alex Rosenthal and George Zaidan	04:49
literature-language	High School/Upper Secondary	What we learned from 5 million books	Erez Lieberman Aiden and Jean-Baptiste Michel	14:09
literature-language	High School/Upper Secondary	Mysteries of vernacular: Jade	Jessica Oreck and Rachael Teel	02:08
literature-language	High School/Upper Secondary	Comma story	Terisa Folaron	05:00
literature-language	High School/Upper Secondary	Mysteries of vernacular: Quarantine	Jessica Oreck and Rachael Teel	02:11
literature-language	High School/Upper Secondary	Mysteries of vernacular: Gorgeous	Jessica Oreck and Rachael Teel	02:01
literature-language	High School/Upper Secondary	The punishable perils of plagiarism	Melissa Huseman D’Annunzio	03:48
literature-language	High School/Upper Secondary	Mysteries of vernacular: Window	Jessica Oreck and Rachael Teel	01:58
literature-language	High School/Upper Secondary	Mysteries of vernacular: Venom	Jessica Oreck and Rachael Teel	02:03
literature-language	High School/Upper Secondary	Mysteries of vernacular: Dynamite	Jessica Oreck and Rachael Teel	02:16
literature-language	High School/Upper Secondary	Mining literature for deeper meanings	Amy E. Harter	04:13
literature-language	High School/Upper Secondary	Mysteries of vernacular: Inaugurate	Jessica Oreck	02:08
literature-language	High School/Upper Secondary	Mysteries of vernacular: Earwig	Jessica Oreck and Rachael Teel	02:17
literature-language	High School/Upper Secondary	Mysteries of vernacular: Tuxedo	Jessica Oreck	02:05
literature-language	High School/Upper Secondary	A host of heroes	April Gudenrath	04:54
literature-language	High School/Upper Secondary	Mysteries of vernacular: Miniature	Jessica Oreck	02:04
literature-language	High School/Upper Secondary	Mysteries of vernacular: Noise	Jessica Oreck	02:02
literature-language	High School/Upper Secondary	Mysteries of vernacular: Hearse	Jessica Oreck	02:14
literature-language	High School/Upper Secondary	Become a slam poet in five steps	Gayle Danley	03:32
literature-language	High School/Upper Secondary	Your elusive creative genius	Elizabeth Gilbert	19:32
literature-language	High School/Upper Secondary	What is verbal irony?	Christopher Warner	03:29
literature-language	High School/Upper Secondary	In on a secret? That’s dramatic irony	Christopher Warner	02:50
literature-language	High School/Upper Secondary	Slowing down time (in writing & film)	Aaron Sitze	06:00
literature-language	High School/Upper Secondary	Tales of passion	Isabel Allende	18:31
literature-language	High School/Upper Secondary	Why is there a "b" in doubt?	Gina Cooke	03:28
literature-language	High School/Upper Secondary	Situational irony: The opposite of what you think	Christopher Warner	03:12
literature-language	High School/Upper Secondary	Inside a cartoonist’s world	Liza Donnelly	04:23
literature-language	High School/Upper Secondary	What makes a hero?	Matthew Winkler	04:34
literature-language	High School/Upper Secondary	Three anti-social skills to improve your writing	Nadia Kalman	03:45
literature-language	High School/Upper Secondary	An antihero of one’s own	Tim Adams	04:11
literature-language	High School/Upper Secondary	Beware of nominalizations (AKA zombie nouns)	Helen Sword	05:05
literature-language	High School/Upper Secondary	The power of a great introduction	Carolyn Mohr	04:43
literature-language	High School/Upper Secondary	The art of the metaphor	Jane Hirshfield	05:39
literature-language	High School/Upper Secondary	How fiction can change reality	Jessica Wise	04:30
literature-language	High School/Upper Secondary	The case against “good” and “bad”	Marlee Neel	04:53
literature-language	High School/Upper Secondary	Insults by Shakespeare	April Gudenrath	06:24
literature-language	High School/Upper Secondary	The birth of a word	Deb Roy	21:08
literature-language	High School/Upper Secondary	Redefining the dictionary	Erin McKean	15:55
literature-language	High School/Upper Secondary	The power of simple words	Terin Izil	02:02
literature-language	College/University	This Video Will Make You Angry	07:26
literature-language	College/University	Why Are Bad Words Bad?	10:46
literature-language	College/University	Your words may predict your future mental health	12:15
literature-language	College/University	What makes something "Kafkaesque"?	Noah Tavlin	05:04
literature-language	College/University	How interpreters juggle two languages at once	Ewandro Magalhaes	04:56
literature-language	College/University	4 Logical Paradoxes	07:26
literature-language	College/University	The pleasure of poetic pattern	David Silverstein	04:47
literature-language	College/University	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
literature-language	College/University	Are You A Good Listener?	04:58
literature-language	College/University	The Turing test: Can a computer pass for a human?	Alex Gendler	04:43
literature-language	College/University	Does grammar matter?	Andreea S. Calude	04:39
literature-language	College/University	The poet who painted with his words	Geneviève Emy	04:16
literature-language	College/University	The controversial origins of the Encyclopedia	Addison Anderson	05:21
literature-language	College/University	Why do we love? A philosophical inquiry	Skye C. Cleary	05:45
literature-language	College/University	How to make your writing funnier	Cheri Steinkellner	05:07
literature-language	College/University	How science fiction can help predict the future	Roey Tzezana	05:22
literature-language	College/University	Let's make history…by recording it	StoryCorps & TED Prize	03:18
literature-language	College/University	How computers translate human language	Ioannis Papachimonas	04:45
literature-language	College/University	What "Orwellian" really means	Noah Tavlin	05:32
literature-language	College/University	Do animals have language?	Michele Bishop	04:55
literature-language	College/University	How false news can spread	Noah Tavlin	03:42
literature-language	College/University	A poetic experiment: Walt Whitman, interpreted by three animators	Justin Moore	03:29
literature-language	College/University	When to use apostrophes	Laura McClure	03:14
literature-language	College/University	Why tragedies are alluring	David E. Rivas	04:26
literature-language	College/University	How to use a semicolon	Emma Bryce	03:36
literature-language	College/University	The famously difficult green-eyed logic puzzle	Alex Gendler	04:42
literature-language	College/University	Did Shakespeare write his plays?	Natalya St. Clair and Aaron Williams	04:07
literature-language	College/University	The language of lying	Noah Zandan	05:42
literature-language	College/University	A brief history of melancholy	Courtney Stephens	05:29
literature-language	College/University	Music and emotion through time	Michael Tilson Thomas	20:14
literature-language	College/University	A Rosetta Stone for the Indus script	Rajesh Rao	17:02
literature-language	College/University	How to build a fictional world	Kate Messner	05:25
literature-language	College/University	The true story of 'true'	Gina Cooke	04:28
literature-language	College/University	Mysteries of vernacular: Odd	Jessica Oreck and Rachael Teel	01:52
literature-language	College/University	Mysteries of vernacular: Yankee	Jessica Oreck and Rachael Teel	01:55
literature-language	College/University	The world's English mania	Jay Walker	04:32
literature-language	College/University	Mysteries of vernacular: Lady	Jessica Oreck and Rachael Teel	02:08
literature-language	College/University	Mysteries of vernacular: Robot	Jessica Oreck and Rachael Teel	02:18
literature-language	College/University	Vampires: Folklore, fantasy and fact	Michael Molina	06:57
literature-language	College/University	Are Elvish, Klingon, Dothraki and Na’vi real languages?	John McWhorter	05:21
literature-language	College/University	Mysteries of vernacular: Bewilder	Jessica Oreck and Rachael Teel	01:55
literature-language	College/University	Mysteries of vernacular: Keister	Jessica Oreck and Rachael Teel	02:01
literature-language	College/University	Mysteries of vernacular: X-ray	Jessica Oreck and Rachael Teel	01:59
literature-language	College/University	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
literature-language	College/University	What's the definition of comedy? Banana.	Addison Anderson	04:51
literature-language	College/University	Mysteries of vernacular: Sarcophagus	Jessica Oreck and Rachael Teel	01:38
literature-language	College/University	A brief history of plural word...s	John McWhorter	04:27
literature-language	College/University	Mysteries of vernacular: Fizzle	Jessica Oreck and Rachael Teel	01:51
literature-language	College/University	Exploring other dimensions	Alex Rosenthal and George Zaidan	04:49
literature-language	College/University	What we learned from 5 million books	Erez Lieberman Aiden and Jean-Baptiste Michel	14:09
literature-language	College/University	Mysteries of vernacular: Jade	Jessica Oreck and Rachael Teel	02:08
literature-language	College/University	Comma story	Terisa Folaron	05:00
literature-language	College/University	Mysteries of vernacular: Quarantine	Jessica Oreck and Rachael Teel	02:11
literature-language	College/University	Mysteries of vernacular: Gorgeous	Jessica Oreck and Rachael Teel	02:01
literature-language	College/University	Mysteries of vernacular: Window	Jessica Oreck and Rachael Teel	01:58
literature-language	College/University	Mysteries of vernacular: Venom	Jessica Oreck and Rachael Teel	02:03
literature-language	College/University	Mysteries of vernacular: Dynamite	Jessica Oreck and Rachael Teel	02:16
literature-language	College/University	Mysteries of vernacular: Inaugurate	Jessica Oreck	02:08
literature-language	College/University	Mysteries of vernacular: Earwig	Jessica Oreck and Rachael Teel	02:17
literature-language	College/University	Mysteries of vernacular: Tuxedo	Jessica Oreck	02:05
literature-language	College/University	Mysteries of vernacular: Miniature	Jessica Oreck	02:04
literature-language	College/University	Mysteries of vernacular: Noise	Jessica Oreck	02:02
literature-language	College/University	Mysteries of vernacular: Hearse	Jessica Oreck	02:14
literature-language	College/University	Become a slam poet in five steps	Gayle Danley	03:32
literature-language	College/University	Your elusive creative genius	Elizabeth Gilbert	19:32
literature-language	College/University	Slowing down time (in writing & film)	Aaron Sitze	06:00
literature-language	College/University	Tales of passion	Isabel Allende	18:31
literature-language	College/University	Why is there a "b" in doubt?	Gina Cooke	03:28
literature-language	College/University	Inside a cartoonist’s world	Liza Donnelly	04:23
literature-language	College/University	What makes a hero?	Matthew Winkler	04:34
literature-language	College/University	How did English evolve?	Kate Gardoqui	05:05
literature-language	College/University	The art of the metaphor	Jane Hirshfield	05:39
literature-language	College/University	The birth of a word	Deb Roy	21:08
literature-language	College/University	Redefining the dictionary	Erin McKean	15:55
literature-language	Other	This Video Will Make You Angry	07:26
literature-language	Other	Why Are Bad Words Bad?	10:46
literature-language	Other	4 Logical Paradoxes	07:26
literature-language	Other	Ralph Waldo Emerson and the Beauty of the Everyday	10:52
literature-language	Other	Are You A Good Listener?	04:58
mathematics	Elementary/Primary	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
mathematics	Elementary/Primary	What If Everyone Jumped at the Same Time?	07:13
mathematics	Elementary/Primary	The World's Roundest Object (and Why it Exists)	11:44
mathematics	Elementary/Primary	How did clouds get their names?	Richard Hamblyn	05:07
mathematics	Elementary/Primary	The math behind Michael Jordan’s legendary hang time	Andy Peterson and Zack Patterson	03:46
mathematics	Elementary/Primary	The complex geometry of Islamic design	Eric Broug	05:07
mathematics	Elementary/Primary	How does your smartphone know your location?	Wilton L. Virgo	05:03
mathematics	Elementary/Primary	A trip through space to calculate distance	Heather Tunnell	03:47
mathematics	Elementary/Primary	Mysteries of vernacular: Zero	Jessica Oreck and Rachael Teel	02:06
mathematics	Elementary/Primary	SpongeBob's house is not a pineapple	01:58
mathematics	Elementary/Primary	Candy factory	03:01
mathematics	Elementary/Primary	How to defeat a dragon with math	Garth Sundem	03:47
mathematics	Elementary/Primary	Pizza physics (New York-style)	Colm Kelleher	03:58
mathematics	Elementary/Primary	How taking a bath led to Archimedes’ Principle	Mark Salata	03:01
mathematics	Elementary/Primary	What happens if you guess?	Leigh Nataro	05:28
mathematics	Elementary/Primary	One is one...or is it?	Christopher Danielson	03:55
mathematics	Elementary/Primary	How folding paper can get you to the moon	Adrian Paenza	03:49
mathematics	Elementary/Primary	How many universes are there?	Chris Anderson	04:43
mathematics	Middle School/Lower Secondary	How to visualize one part per million	Kim Preshoff + The TED-Ed Community	02:28
mathematics	Middle School/Lower Secondary	Why the metric system matters	Matt Anticole	05:08
mathematics	Middle School/Lower Secondary	Can you solve the passcode riddle?	Ganesh Pai	04:08
mathematics	Middle School/Lower Secondary	What If Everyone Jumped at the Same Time?	07:13
mathematics	Middle School/Lower Secondary	Can you solve the control room riddle?	Dennis Shasha	04:01
mathematics	Middle School/Lower Secondary	Making sense of irrational numbers	Ganesh Pai	04:41
mathematics	Middle School/Lower Secondary	The psychology behind irrational decisions	Sara Garofalo	04:39
mathematics	Middle School/Lower Secondary	The World's Roundest Object (and Why it Exists)	11:44
mathematics	Middle School/Lower Secondary	Should you trust unanimous decisions?	Derek Abbott	04:03
mathematics	Middle School/Lower Secondary	Can you solve the locker riddle?	Lisa Winer	03:50
